date	tag	slug	title	angle
2027-05-01	Diagnostics	a-diagnostic-method	A Diagnostic Method	Observe, measure, hypothesise, test. Applied to coffee equipment.
2027-05-02	Diagnostics	taking-a-fault-report	Taking a Proper Fault Report	The questions that halve the visit.
2027-05-03	Diagnostics	baseline-data	Baseline Data and Why It Matters	Diagnosis is comparison. Without a baseline it is guessing.
2027-05-04	Diagnostics	instrumentation-for-diagnosis	Instrumentation for Diagnosis	The kit that turns opinions into numbers.
2027-05-05	Diagnostics	diagnosing-by-taste	Diagnosing by Taste	Using the cup as an instrument, and its limits.
2027-05-06	Diagnostics	diagnosing-bitterness	Diagnosing Bitterness	Hardware, water and process causes, separated.
2027-05-07	Diagnostics	diagnosing-sourness	Diagnosing Sourness	Temperature, extraction and the things that mimic it.
2027-05-08	Diagnostics	diagnosing-thin-body	Diagnosing Thin Body	Water chemistry, burrs and pressure.
2027-05-09	Diagnostics	diagnosing-inconsistency	Diagnosing Inconsistency	The hardest fault class, and how to make it repeatable.
2027-05-10	Diagnostics	no-power	Fault: No Power	A systematic tree from supply to board.
2027-05-11	Diagnostics	no-water	Fault: No Water	Supply, filter, pump, solenoid, in order.
2027-05-12	Diagnostics	no-heat	Fault: No Heat	Element, contactor, controller, probe, protection.
2027-05-13	Diagnostics	overheating	Fault: Overheating	The dangerous one, and why you isolate first.
2027-05-14	Diagnostics	underheating	Fault: Underheating	Scale, voltage, element and specification.
2027-05-15	Diagnostics	no-pressure	Fault: No Pressure	Inlet through to bypass, cheapest first.
2027-05-16	Diagnostics	excess-pressure	Fault: Excess Pressure	Expansion, regulation and a valve that should have relieved.
2027-05-17	Diagnostics	slow-flow	Fault: Slow Flow	Group-side against machine-side, and how to tell instantly.
2027-05-18	Diagnostics	fast-flow	Fault: Fast Flow	Erosion, wear and the settings that hide it.
2027-05-19	Diagnostics	leaks-systematic	Fault: Leaks, Systematically	Locating by timing and position.
2027-05-20	Diagnostics	noise-systematic	Fault: Noise, Systematically	Pump, mount, valve or panel.
2027-05-21	Diagnostics	smells	Fault: Smells	Drain, milk, electrical and rancid coffee, distinguished.
2027-05-22	Diagnostics	electrical-trips	Fault: Electrical Trips	Real fault against accumulated leakage.
2027-05-23	Diagnostics	reading-error-codes	Reading Error Codes	What they mean, what they do not, and their limits.
2027-05-24	Diagnostics	intermittent-faults	Intermittent Faults	Instrumenting a machine to catch what you cannot watch for.
2027-05-25	Diagnostics	faults-after-a-service	Faults After a Service	What we disturbed, and taking responsibility for it.
2027-05-26	Diagnostics	faults-after-a-water-change	Faults After a Water Change	New cartridge, new supply, new problem.
2027-05-27	Diagnostics	faults-after-a-coffee-change	Faults After a Coffee Change	When the machine is fine and the variable moved.
2027-05-28	Diagnostics	when-it-isnt-the-machine	When It Isn't the Machine	Beans, staff, ambient and expectations.
2027-05-29	Diagnostics	escalating-to-the-manufacturer	When to Escalate to the Manufacturer	How to ask so you get a useful answer.
2027-05-30	Diagnostics	documenting-a-diagnosis	Documenting a Diagnosis	Writing it so the next visit starts ahead.
2027-05-31	Diagnostics	three-case-studies	Three Case Studies	Real faults, wrong first guesses, and what found them.
2027-06-01	Operations	structuring-a-service-offering	Structuring a Service Offering	Reactive, preventive and contracted, and what each requires.
2027-06-02	Operations	pricing-service-work	Pricing Service Work	Time, travel, parts and the value of not failing.
2027-06-03	Operations	service-contracts	Service Contracts	What to include, what to exclude, and how to write it plainly.
2027-06-04	Operations	response-times-and-slas	Response Times and SLAs	Promising what you can actually deliver.
2027-06-05	Operations	scheduling-preventive-work	Scheduling Preventive Work	Fitting a year of visits around trading hours.
2027-06-06	Operations	van-stock	Van Stock	What travels with you, and what does not.
2027-06-07	Operations	parts-sourcing	Parts Sourcing	Genuine, equivalent and obsolete.
2027-06-08	Operations	warranty-administration	Warranty Administration	Documentation that makes a claim succeed.
2027-06-09	Operations	working-with-manufacturers	Working with Manufacturers	Technical support, training and escalation paths.
2027-06-10	Operations	technical-documentation	Technical Documentation	Building a library you can actually search.
2027-06-11	Operations	training-technicians	Training Technicians	Sequencing skills, and what to supervise.
2027-06-12	Operations	safe-working-practices	Safe Working Practices	Pressure, electricity and hot water in one small box.
2027-06-13	Operations	risk-assessment	Risk Assessment	Doing it usefully rather than as paperwork.
2027-06-14	Operations	electrical-safety-compliance	Electrical Safety Compliance	Testing, certification and record keeping.
2027-06-15	Operations	pressure-vessel-compliance	Pressure Vessel Compliance	Establishing what applies, and telling clients.
2027-06-16	Operations	food-safety-and-hygiene	Food Safety and Hygiene	Where equipment service meets food law.
2027-06-17	Operations	water-regulations	Water Regulations	Backflow, materials approval and inspection.
2027-06-18	Operations	waste-and-chemical-handling	Waste and Chemical Handling	Descalers, detergents and used cartridges.
2027-06-19	Operations	insurance-considerations	Insurance Considerations	What cover assumes about your maintenance records.
2027-06-20	Operations	customer-communication	Customer Communication	Setting expectations before the work, not after.
2027-06-21	Operations	explaining-technical-findings	Explaining Technical Findings	Making a scale problem understandable to an owner.
2027-06-22	Operations	managing-expectations	Managing Expectations	Saying what a repair will and will not achieve.
2027-06-23	Operations	quoting-repair-versus-replacement	Quoting Repair versus Replacement	Doing the arithmetic honestly, out loud.
2027-06-24	Operations	asset-lifecycle-planning	Asset Lifecycle Planning	Helping a client plan replacement rather than react to failure.
2027-06-25	Operations	fleet-management	Fleet Management for Groups	Standardising equipment across sites, and why it pays.
2027-06-26	Operations	remote-monitoring-and-telemetry	Remote Monitoring and Telemetry	What connected machines can genuinely tell you.
2027-06-27	Operations	data-from-connected-machines	Data from Connected Machines	Shot counts, temperatures and predictive maintenance.
2027-06-28	Operations	sustainability-and-energy	Sustainability and Energy	Standby losses, water waste and honest claims.
2027-06-29	Operations	refurbishment-and-resale	Refurbishment and Resale	What a full service history is worth.
2027-06-30	Operations	building-a-knowledge-base	Building a Service Knowledge Base	Capturing what your team learns so it is not lost.
2027-07-01	Extraction	what-extraction-is	What Extraction Actually Is	Solubles, water and time, without the mysticism.
2027-07-02	Extraction	solubles-and-yield	Solubles and Yield	What dissolves, in what order, and what tastes of what.
2027-07-03	Extraction	tds-and-refractometry	TDS and Refractometry	Measuring extraction, and what the number is worth.
2027-07-04	Extraction	brew-ratio-explained	Brew Ratio	The one variable everyone states and few control.
2027-07-05	Extraction	dose-and-basket-fit	Dose and Basket Fit	Headspace, compaction and matching dose to basket.
2027-07-06	Extraction	grind-size-and-distribution	Grind Size and Distribution	Why one number cannot describe a grind.
2027-07-07	Extraction	time-as-a-dependent-variable	Time as a Dependent Variable	Shot time is an outcome, not a setting.
2027-07-08	Extraction	temperature-effects	Temperature Effects on Extraction	What a degree actually does in the cup.
2027-07-09	Extraction	pressure-effects	Pressure Effects on Extraction	Nine bar, and why it is a convention rather than a law.
2027-07-10	Extraction	flow-effects	Flow Effects on Extraction	Flow rate as the variable behind pressure.
2027-07-11	Extraction	preinfusion-effects	Preinfusion Effects	What a gentle start does to a coffee bed.
2027-07-12	Extraction	channelling-physics	Channelling Physics	Why water finds a path, and what actually stops it.
2027-07-13	Extraction	puck-preparation	Puck Preparation	Distribution, levelling and consolidation, in order of effect.
2027-07-14	Extraction	distribution-tools	Distribution Tools	What they do, what they do not, and which are theatre.
2027-07-15	Extraction	tamping	Tamping	Pressure, level and why consistency beats force.
2027-07-16	Extraction	water-chemistry-and-extraction	Water Chemistry and Extraction	Closing the loop back to alkalinity and hardness.
2027-07-17	Extraction	freshness-and-degassing	Coffee Freshness and Degassing	CO2, crema and why a recipe moves over a fortnight.
2027-07-18	Extraction	roast-level-and-extraction	Roast Level and Extraction	Solubility, density and why light roasts fight you.
2027-07-19	Extraction	single-origin-versus-blend	Single Origin versus Blend Behaviour	Consistency, forgiveness and menu design.
2027-07-20	Extraction	dialling-in-a-method	Dialling In: A Method	A repeatable procedure rather than a series of hunches.
2027-07-21	Extraction	recording-and-repeating-recipes	Recording and Repeating Recipes	What to write down so tomorrow starts where today ended.
2027-07-22	Extraction	calibration-across-groups	Calibration Across Groups	Making three groups produce the same coffee.
2027-07-23	Extraction	calibration-across-sites	Calibration Across Sites	Standardising a multi-site operation honestly.
2027-07-24	Extraction	sensory-calibration-for-teams	Sensory Calibration for Teams	Building shared language so feedback means something.
2027-07-25	Extraction	recipe-that-stops-working	Troubleshooting a Recipe That Stops Working	Hardware, water, coffee or people: an ordered check.
2027-07-26	Extraction	closing-the-year	Closing the Year: What Actually Matters	A year of detail, reduced to the handful of things that decide the cup.
